name,page,wikidata_id,foundingYearOrg,address,city,province,is_member_of,head_name,head_title,governing_body,academicStaffSize,numberOfStudents,latitude,longitude,coord_level
Trường Cao đẳng Kinh tế Thành phố Hồ Chí Minh,Trường Cao đẳng Kinh tế Thành phố Hồ Chí Minh,Q30921083,1989,"33 Vĩnh Viễn, phường Vườn Lài",Hồ Chí Minh,Hồ Chí Minh,,Trần Văn Tú,Hiệu trưởng,UBND Thành phố Hồ Chí Minh,255,,10.823100,106.629700,Approximate
Trường Cao đẳng Bến Tre,Trường Cao đẳng Bến Tre,Q65162191,,"số 400/1, Khu phố 1, phường Sơn Đông",,Vĩnh Long,,Nguyễn Văn Huấn,Hiệu trưởng,UBND tỉnh Vĩnh Long có phương án hợp nhất Trường Cao đẳng Bến Tre cùng với 04 trường cao đẳng khác thành,,,10.239700,105.957200,Approximate
Đại học Trà Vinh,Đại học Trà Vinh,Q10829149,2006,"Số 126 Nguyễn Thiện Thành, khóm 4, phường Hòa Thuận",Trà Vinh,Vĩnh Long,,Nguyễn Minh Hòa,Hiệu trưởng,Bộ Giáo dục và Đào tạo,1200,20506,9.922000,106.347000,Exact
Học viện Phụ nữ Việt Nam,Học viện Phụ nữ Việt Nam,Q18458592,1558,Hà Nội,Hà Nội,Hà Nội,,Trần Quang Tiến,Giám đốc,Trung ương Hội Liên hiệp Phụ nữ Việt Nam,,6000,21.027800,105.834200,Approximate
Trường Đại học Kinh doanh và Công nghệ Hà Nội,Trường Đại học Kinh doanh và Công nghệ Hà Nội,Q10829067,1996,Hà Nội,Hà Nội,Hà Nội,,,,Bộ Giáo dục và Đào tạo,,138,21.027800,105.834200,Approximate
Trường Đại học Công nghệ Đồng Nai,Trường Đại học Công nghệ Đồng Nai,Q10829032,2011,Biên Hoà,,Đồng Nai,,Đoàn Mạnh Quỳnh,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.944700,106.824300,Approximate
Trường Đại học Công nghiệp Vinh,Trường Đại học Công nghiệp Vinh,Q16480712,,Vinh,Vinh,Nghệ An,,,,Bộ Công Thương,,3000,18.679600,105.681300,Approximate
Trường Đại học Dầu khí Việt Nam,Trường Đại học Dầu khí Việt Nam,Q10829040,2010,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Phan Minh Quốc Bình,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.823100,106.629700,Approximate
Trường Cao đẳng Công nghệ Hà Nội,Trường Cao đẳng Công nghệ Hà Nội,Q10828788,2007,"Km12 - Quốc lộ 32, Phú Diễn, Từ Liêm",Hà Nội,Hà Nội,,Vũ Chí Thành ( Trường Cao đẳng FPT Polytechnic,Hiệu trưởng,UBND Thành phố Hà Nội,,,21.027800,105.834200,Approximate
Trường Đại học Công nghệ Sài Gòn,Trường Đại học Công nghệ Sài Gòn,Q7400087,1997,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Cao Hào Thi,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.737941,106.675724,Exact
Trường Đại học Công nghệ Thông tin và Truyền thông Việt – Hàn,"Trường Đại học Công nghệ Thông tin và Truyền thông Việt – Hàn, Đại học Đà Nẵng",Q16480474,2007,TP. Đà Nẵng,Đà Nẵng,Đà Nẵng,Đại học Đà Nẵng,Huỳnh Công Pháp,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,1500,16.054400,108.202200,Approximate
Trường Đại học Công nghệ Vạn Xuân,Trường Đại học Công nghệ Vạn Xuân,Q7913787,2008,"103 Đại lộ Nguyễn Sinh Cung, phường Cửa Lò",,Nghệ An,,Nguyễn Lưu Thụy,Hiệu trưởng,Bộ Giáo dục và Đào tạo,105,,18.789435,105.716956,Exact
Trường Đại học Công nghiệp và Thương mại Hà Nội,Trường Đại học Công nghiệp và Thương mại Hà Nội,Q97167427,1967,Hà Nội,Hà Nội,Hà Nội,,Hoàng Xuân Hiệp,Hiệu trưởng,Bộ Công Thương,,,21.027800,105.834200,Approximate
Trường Đại học Kiến trúc Đà Nẵng,Trường Đại học Kiến trúc Đà Nẵng,Q5207275,,Đà Nẵng,Đà Nẵng,Đà Nẵng,,Phạm Anh Tuấn,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,100,16.054400,108.202200,Approximate
Học viện Tư pháp,Học viện Tư pháp,Q10771905,2004,Hà Nội,Hà Nội,Hà Nội,,,,Bộ Tư pháp,,,21.027800,105.834200,Approximate
Trường Đại học Luật Thành phố Hồ Chí Minh,Trường Đại học Luật Thành phố Hồ Chí Minh,Q5874003,1996,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Lê Trường Sơn,Hiệu trưởng,Bộ Giáo dục và Đào tạo và có trụ sở tại Thành phố Hồ Chí Minh,,,10.767571,106.705675,Exact
Trường Quốc gia Âm nhạc Huế,Trường Quốc gia Âm nhạc Huế,Q16480497,,Huế,Huế,Thừa Thiên Huế,,,,Bộ Văn hóa,,,16.463700,107.590900,Approximate
Trường Quốc gia Âm nhạc và Kịch nghệ,Trường Quốc gia Âm nhạc và Kịch nghệ,Q10828875,1956,Việt Nam,,,,,,Bộ Văn hóa,,150,16.047079,108.206230,Approximate
Đại học và cao đẳng sư phạm Việt Nam,Đại học và cao đẳng sư phạm Việt Nam,,,Việt Nam,Hà Nội,Hà Nội,,,,Bộ Giáo dục và Đào tạo,,,21.027800,105.834200,Approximate
Trường Đại học Sư phạm,"Trường Đại học Sư phạm, Đại học Huế",Q10829127,1957,"Số 34 đường Lê Lợi, phường Phú Hội, quận Thuận Hóa",Huế,Thừa Thiên Huế,Đại học Huế,,,Bộ Giáo dục và Đào tạo,,1431,16.463700,107.590900,Approximate
Trường Đại học Tổng hợp Huế,Trường Đại học Tổng hợp Huế,Q10829059,1957,thành phố Huế,Huế,Thừa Thiên Huế,,Võ Thanh Tùng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,16.463700,107.590900,Approximate
Trường Đại học Răng Hàm Mặt,Trường Đại học Răng Hàm Mặt,Q10829120,2002,Hà Nội,Hà Nội,Hà Nội,,Tiến sĩ. Trư­ơng Mạnh Dũng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,21.027800,105.834200,Approximate
Trường Đại học Võ Trường Toản,Trường Đại học Võ Trường Toản,Q10829161,2008,"Quốc lộ 1, xã Thạnh Xuân",Cần Thơ,Cần Thơ,,Dương Đăng Khoa,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.045200,105.746900,Approximate
Trường Đại học Phan Châu Trinh,Trường Đại học Phan Châu Trinh,Q10829108,1412,Phường Điện Bàn Đông,Đà Nẵng,Đà Nẵng,,GS.TS.BS Lê Văn Cường,Hiệu trưởng,Bộ Y tế chấp thuận cho phép đào tạo ngành Y khoa hệ chính quy khóa đầu tiên từ năm 2018,,,16.054400,108.202200,Approximate
Học viện Cán bộ Thành phố Hồ Chí Minh,Học viện Cán bộ Thành phố Hồ Chí Minh,,1878,thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Nguyễn Văn Y,Giám đốc,Thành ủy Thành phố Hồ Chí Minh,,,10.812578,106.702581,Exact
Khu đô thị Đại học Phố Hiến,Khu đô thị Đại học Phố Hiến,Q10779502,,Việt Nam,,,,,,Bộ Giáo dục và Đào tạo,529,80000,16.047079,108.206230,Approximate
Dự án Khu đô thị đại học quốc tế Tây Bắc Thành phố Hồ Chí Minh,Dự án Khu đô thị đại học quốc tế Tây Bắc Thành phố Hồ Chí Minh,Q10757727,,Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,,,Bộ Giáo dục và Đào tạo,,,10.823100,106.629700,Approximate
Đại học Phenikaa,Đại học Phenikaa,,,Hà Nội,Hà Nội,Hà Nội,,Hồ Xuân Năng,Giám đốc,Bộ Giáo dục và Đào tạo,,,21.027800,105.834200,Approximate
