name,page,wikidata_id,foundingYearOrg,address,city,province,is_member_of,head_name,head_title,governing_body,academicStaffSize,numberOfStudents,latitude,longitude,coord_level
Trường Phổ thông Vùng cao Việt Bắc,Trường Phổ thông Vùng cao Việt Bắc,Q109432443,1957,TP Thái Nguyên,Thái Nguyên,Thái Nguyên,,Lục Thúy Hằng,Hiệu trưởng,,,,21.583756,105.805914,Exact
Học viện Âm nhạc Huế,Học viện Âm nhạc Huế,Q10771910,1962,Huế,Huế,Thừa Thiên Huế,,Hà Mai Hương,Giám đốc,Bộ Văn hóa,,,16.463700,107.590900,Approximate
Học viện Âm nhạc Quốc gia Việt Nam,Học viện Âm nhạc Quốc gia Việt Nam,Q5649320,1956,thành phố Hà Nội,Hà Nội,Hà Nội,,TS.NSND. Đỗ Quốc Hưng,Giám đốc,Bộ Văn hóa,,,21.027800,105.834200,Approximate
Học viện Múa Việt Nam,Học viện Múa Việt Nam,Q65172277,1959,Hà Nội,Hà Nội,Hà Nội,,NSƯT Trần Văn Hải,Giám đốc,Bộ Văn hóa,,,21.027800,105.834200,Approximate
Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh,Q877269,1913,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Nguyễn Văn Minh,Hiệu trưởng,André Joyeux,,,10.802900,106.694000,Exact
Trường Cao đẳng Mỹ thuật Đông Dương,"Trường Cao đẳng Mỹ thuật Đông Dương, Viện Đại học Đông Dương",,,Việt Nam,,,Viện Đại học Đông Dương,,,Bộ Văn hóa,,128,16.047079,108.206230,Approximate
Trường Đại học Mỹ thuật Việt Nam,Trường Đại học Mỹ thuật Việt Nam,Q3815307,1924,Việt Nam,,,,,,Bộ Văn hóa,,,21.022136,105.842789,Exact
Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Q5873944,1977,"125 Cống Quỳnh, Phường Cầu Ông Lãnh",Hồ Chí Minh,Hồ Chí Minh,,Phạm Huy Quang,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.766667,106.700000,Exact
Trường Đại học Thể dục Thể thao Bắc Ninh,Trường Đại học Thể dục Thể thao Bắc Ninh,Q10829143,,Phường Đồng Nguyên,,Bắc Ninh,,Nguyễn Văn Phúc,Hiệu trưởng,Bộ Văn hóa,,,21.186100,106.076300,Approximate
Trường Đại học Thể dục Thể thao Đà Nẵng,Trường Đại học Thể dục Thể thao Đà Nẵng,Q10829144,,Đà Nẵng,Đà Nẵng,Đà Nẵng,,Phan Thanh Hài,Hiệu trưởng,Bộ Văn hóa,,,16.054400,108.202200,Approximate
Trường Đại học Thể dục thể thao Thành phố Hồ Chí Minh,Trường Đại học Thể dục thể thao Thành phố Hồ Chí Minh,Q7579810,1976,"Khu phố 33, phường Linh Xuân",Hồ Chí Minh,Hồ Chí Minh,,Võ Quốc Thắng,Hiệu trưởng,Bộ Văn hóa,,,10.878731,106.795278,Exact
Trường Đại học Văn hóa Hà Nội,Trường Đại học Văn hóa Hà Nội,Q10829164,1959,Hà Nội,Hà Nội,Hà Nội,,Phạm Thị Thu Hương,Hiệu trưởng,Bộ Văn hóa,,,21.027800,105.834200,Approximate
Trường Đại học Văn hóa Thành phố Hồ Chí Minh,Trường Đại học Văn hóa Thành phố Hồ Chí Minh,Q5873981,1976,"CS1: 51 Quốc Hương, P. An Khánh | CS2: 288 Đỗ Xuân Hợp, P. Phước Long",Hồ Chí Minh,Hồ Chí Minh,,Lâm Nhân,Hiệu trưởng,Bộ Văn hóa,,,10.805800 | 10.823100,106.731000 | 106.629700,Exact | Approximate
Trường Đại học Sân khấu – Điện ảnh Hà Nội,Trường Đại học Sân khấu – Điện ảnh Hà Nội,Q10829124,1959,Hà Nội,Hà Nội,Hà Nội,,Ts.NSƯT Bùi Như Lai,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,21.027800,105.834200,Approximate
Học viện Khoa học và Công nghệ,Học viện Khoa học và Công nghệ,Q61128190,1411,Việt Nam,,,,,,Viện Hàn lâm Khoa học và Công nghệ Việt Nam,,,16.047079,108.206230,Approximate
Trường Đại học Khoa học và Công nghệ Hà Nội,Trường Đại học Khoa học và Công nghệ Hà Nội,Q15260958,2009,Hà Nội,Hà Nội,Hà Nội,,,,Bộ Giáo dục và Đào tạo,,,21.048157,105.801289,Exact
Học viện Khoa học Xã hội,Học viện Khoa học Xã hội,Q10771889,,Việt Nam,,,,,,Viện Hàn lâm Khoa học Xã hội Việt Nam,,,16.047079,108.206230,Approximate
Trường Cao đẳng nghề LILAMA-1,Trường Cao đẳng nghề LILAMA-1,Q10828827,1977,Đường Lê Hồng Phong,Hoa Lư,Ninh Bình,,Hoàng Công Thi,Hiệu trưởng,,,,20.250600,105.974500,Approximate
Học viện Hàng không Việt Nam,Học viện Hàng không Việt Nam,Q302448,1979,Việt Nam,Hồ Chí Minh,Hồ Chí Minh,,,,Bộ Giao thông Vận tải,,,10.823100,106.629700,Approximate
Trường Đại học Kiến trúc Thành phố Hồ Chí Minh,Trường Đại học Kiến trúc Thành phố Hồ Chí Minh,Q3037890,1926,"196 Pasteur, phường Xuân Hòa",Hồ Chí Minh,Hồ Chí Minh,,PGS.TS.KTS. Phạm Trọng Thuật,Hiệu trưởng,Martial Merlin,283,,10.782100,106.694000,Exact
Trường Đại học Xây dựng Miền Tây,Trường Đại học Xây dựng Miền Tây,Q61128838,2011,"20B Phó Cơ Điều, Phường Phước Hậu",,Vĩnh Long,,Nguyễn Văn Xuân,Hiệu trưởng,Bộ Xây dựng,170,,10.239700,105.957200,Approximate
Trường Đại học Xây dựng Miền Trung,Trường Đại học Xây dựng Miền Trung,Q10829166,1976,"24 Nguyễn Du, phường Tuy Hòa | 195 Hà Huy Tập, phường Bình Kiến | 544B Nguyễn Lương Bằng, phường Hải Vân",Tuy Hòa,Phú Yên,,Phan Văn Huệ,Hiệu trưởng,Bộ Xây dựng cùng với Trường Đại học Xây dựng Miền Tây,,,13.095500 | 13.095500 | 13.095500,109.320900 | 109.320900 | 109.320900,Approximate | Approximate | Approximate
Trường Đại học Kiến trúc Hà Nội,Trường Đại học Kiến trúc Hà Nội,Q6131246,1969,Hà Nội,Hà Nội,Hà Nội,,KTS. Lê Quân,Chủ tịch,Bộ Giáo dục và Đào tạo,507,400,20.980670,105.789770,Exact
Trường Đại học Y Dược Thành phố Hồ Chí Minh,Trường Đại học Y Dược Thành phố Hồ Chí Minh,Q986462,1947,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Ngô Quốc Đạt,Hiệu trưởng,Bộ Y tế,,,10.755600,106.663000,Exact
Học viện Y – Dược học cổ truyền Việt Nam,Học viện Y – Dược học cổ truyền Việt Nam,Q10771907,1969,Hà Nội,Hà Nội,Hà Nội,,Nguyễn Quốc Huy,Giám đốc,Bộ Y tế,,,21.027800,105.834200,Approximate
Trường Cao đẳng Dược Trung ương Hải Dương,Trường Cao đẳng Dược Trung ương Hải Dương,Q10828795,,Hải Dương,,Hải Dương,,Trần Bá Kiên,Hiệu trưởng,Bộ Y tế,,,20.937300,106.314600,Approximate
Trường Đại học Dược Hà Nội,Trường Đại học Dược Hà Nội,Q16944333,1961,Hà Nội,Hà Nội,Hà Nội,,Nguyễn Hải Nam,Hiệu trưởng,Bộ Y tế,,1935,21.021571,105.858077,Exact
Trường Đại học Điều dưỡng Nam Định,Trường Đại học Điều dưỡng Nam Định,Q10829178,,"257 Hàn Thuyên, phường Nam Định",,Nam Định,,TTND.TS. Trương Tuấn Anh,Hiệu trưởng,Bộ Y tế,,,20.438800,106.162100,Approximate
Trường Đại học Kỹ thuật Y Dược Đà Nẵng,Trường Đại học Kỹ thuật Y Dược Đà Nẵng,Q109435303,2013,Đà Nẵng,Đà Nẵng,Đà Nẵng,,PGS.TS.BS Lê Thị Thúy,Hiệu trưởng,Bộ Y tế,250,,16.054400,108.202200,Approximate
Trường Đại học Kỹ thuật Y tế Hải Dương,Trường Đại học Kỹ thuật Y tế Hải Dương,Q10829084,,Số 1 Vũ Hựu,Hải Dương,Hải Dương,,TS.BS Phạm Thị Cẩm Hưng,Hiệu trưởng,Bộ Y tế,,,20.937300,106.314600,Approximate
Trường Đại học Y Dược Cần Thơ,Trường Đại học Y Dược Cần Thơ,Q20026263,1979,Thành phố Cần Thơ,Cần Thơ,Cần Thơ,,BS. Nguyễn Trung Kiên,Hiệu trưởng,Bộ Y tế,462,16200,10.037043,105.755511,Exact
Trường Đại học Y Dược Hải Phòng,Trường Đại học Y Dược Hải Phòng,Q10829172,1979,"72A, đường Nguyễn Bỉnh Khiêm, quận Ngô Quyền",Hải Phòng,Hải Phòng,,Nguyễn Văn Khải Tiến sĩ,Hiệu trưởng,Bộ Y tế,762,,20.844900,106.688100,Approximate
Trường Đại học Y Dược Thái Bình,Trường Đại học Y Dược Thái Bình,Q10829173,1968,Hưng Yên,,Hưng Yên,,Nguyễn Duy Cường,Hiệu trưởng,Bộ Y tế,1000,,20.646400,106.051100,Approximate
Trường Đại học Y Hà Nội,Trường Đại học Y Hà Nội,Q4383725,1902,"01 Tôn Thất Tùng, P. Kim Liên | Phân hiệu Thanh Hóa: 722 Quang Trung, P. Hạc Thành",Hà Nội,Hà Nội,,Nguyễn Hữu Tú,Hiệu trưởng,Bộ Y tế,,,21.002778 | 21.027800,105.831667 | 105.834200,Exact | Approximate
Trường Đại học Y tế Công cộng,Trường Đại học Y tế Công cộng,Q10829176,1574,Hà Nội,Hà Nội,Hà Nội,,Hoàng Văn Minh,Hiệu trưởng,Bộ Y tế,,2000,21.027800,105.834200,Approximate
Trường Đại học Quốc gia Việt Nam,Trường Đại học Quốc gia Việt Nam,Q109439548,1945,Việt Nam,,,,,,Bộ Giáo dục và Đào tạo,,,16.047079,108.206230,Approximate
Bệnh viện Đại học Y Dược,"Bệnh viện Đại học Y Dược, Đại học Quốc gia Hà Nội",,1990,Hà Nội,Hà Nội,Hà Nội,,,,Bộ Xây dựng,,,20.993485,105.797292,Exact
Trường Trung học phổ thông chuyên Khoa học Tự nhiên,"Trường Trung học phổ thông chuyên Khoa học Tự nhiên, Đại học Quốc gia Hà Nội",Q10828960,1965,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Lê Công Lợi,Hiệu trưởng,Đại học Quốc gia Hà Nội,,,21.027800,105.834200,Approximate
Trường Trung học phổ thông chuyên Khoa học Xã hội và Nhân văn,"Trường Trung học phổ thông chuyên Khoa học Xã hội và Nhân văn, Đại học Quốc gia Hà Nội",Q86012394,2019,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Nguyễn Quang Liệu,Hiệu trưởng,Đại học Quốc gia Hà Nội,,,20.995400,105.807100,Exact
Trường Đại học Công nghệ,"Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội",Q10829028,1534,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Chử Đức Trình,Hiệu trưởng,Đại học Quốc gia Hà Nội,205,,21.038236,105.782076,Exact
Đại học Quốc gia Hà Nội,Đại học Quốc gia Hà Nội,Q1076729,1906,Hà Nội,Hà Nội,Hà Nội,,Nguyễn Hiệu,Giám đốc,Đại học Quốc gia Hà Nội,5459,,21.037681,105.782305,Exact
